|CanTrx_Tarjetas|MonTrx_Tarjetas|SaldoCTS|SOW_SCO|CanTrx_TC|Can_Ingresos_Glomo|NroCtasAhorro|MaxLinTC|SaldoActivo_SSFF|Edad|SaldoAhorro|ME_TOTAL|Sueldo
166|8|475.1|164.72696|0.0|0|3|2|52700.0|54380.21|61|3629.06|5006.77|3599.2
167|13|215.2|0.05|0.0|0|3|1|3500.0|35682.78|31|768.0|1359.2|827.8
168|20|1042.81|0.07|0.0|4|71|2|5373.0|10642.08|24|0.05|2062.14|1766.0
169|1|34.9|2602.37692|0.0|0|6|3|90050.0|5.12|65|84786.42652|15829.85|8048.85
170|9|1032.69|1.27|0.0|9|13|2|21100.0|187.7|33|1731.85146|40.0|9100.05
171|33|3923.54|0.0|0.0|26|10|3|92516.82|565396.6|38|13848.91|15067.408|3220.0
172|30|1693.92|0.0|0.0|4|29|3|10568.86|21798.6|37|6129.211|5810.5684|2728.72
173|12|2729.88|0.0|0.0|7|33|4|90000.0|752545.9|39|31983.1142|14301.557|7509.81
174|41|3269.1|1008.56|0.0|19|13|2|19000.0|6406.19|31|3703.85|4119.43|4765.95
175|21|2088.18|0.59|0.0|2|24|1|4800.0|11239.66|44|3394.21|8519.42|5273.08
176|7|333.27|9.44|0.0|5|5|1|7600.0|13413.92|59|672.59|2903.49|1752.18
177|48|2529.19|0.0|1.0|0|41|3|44340.0|46823.66|46|3140.7|9345.77|6205.15
178|52|2537.43|0.93|0.0|9|0|2|7761.0|104484.8|39|1379.84011|7507.7905|3332.63
179|13|2102.99|0.08|0.0|3|0|2|2900.0|6775.44|29|531.63|2284.0|2142.29
180|44|1623.7|0.06|0.0|21|3|2|1200.0|352645.78|34|491.78|1449.35|2929.02
181|110|16577.01|4.16|0.9871|90|0|4|56000.0|3694247.8|42|702572.08852|1042357.75|19043.65
182|93|3382.16|0.02|0.0|0|8|3|1512.82|2492.82|36|3203.61|6310.99|5611.69
183|35|4619.35|17337.32072|0.0|2|0|2|80000.0|20088.81|49|573.69|11435.92|7079.55
184|31|7074.94|20.02|0.0|0|8|4|26600.0|8021.96|41|98500.0|11671.7|6962.07
185|117|4935.74|0.0|0.0|2|56|2|14000.0|46946.74|32|23530.44|11185.322|15134.1
186|2|185.0|0.03|0.0|1|21|1|3600.0|2837.26|26|2383.0|2441.64|2207.5
187|17|1225.73|1.14|0.0|2|73|1|5822.0|6486.46|64|2774.16|9956.2|1849.75
188|34|1344.2|0.0|0.0|5|134|4|12300.0|101370.77|33|3522.58|8029.38|2262.0
189|11|1847.77|0.8|0.0|3|35|1|5249.0|26049.28|30|169.58|3277.5|2969.74
