|GNB|2_Premium|LIMA_MODERNA|A|B|Riesgo_Bajo|LIMA_SUR|Antiguedad_SSFF|NroTrxAgencia|1_Beyond|Frescura|NroTrxATM|SBP|Can_Contactabilidad_3UM|3_Preferente|SaldoHIP|D|Superior|SaldoVEH|DIVORCIADO|ImporteTrxWeb|ImporteTrxCorresponsal|M|MontoOfertado|Edad|class
103|0|0|0|0|0|1|1|4.0|6.0|0|1.0|8.0|0|3.0|1|0.0|0|1|0.0|0|0.0|0.0|0|8000.0|50.0|0.0
104|0|0|0|0|0|0|0|4.0|6.0|0|4.0|0.0|0|0.0|0|0.0|0|0|0.0|0|565.84|491.15|0|1000.0|31.0|0.0
105|0|0|0|0|0|0|0|7.0|0.0|0|4.0|7.0|0|0.0|0|37670.69|0|0|0.0|0|1964.28|319.68|1|8600.0|76.0|0.0
106|0|0|0|0|0|0|0|1.0|3.0|0|3.0|8.0|0|3.0|0|0.0|0|0|0.0|0|1487.7|0.0|0|6000.0|43.0|0.0
107|0|0|0|0|0|1|0|7.0|6.0|0|1.0|7.0|0|0.0|1|0.0|0|0|0.0|0|1988.12|412.82|0|17000.0|47.0|1.0
108|0|0|0|0|0|0|0|6.0|8.0|0|3.0|8.0|0|0.0|0|38851.2|0|0|0.0|0|0.0|3672.07|1|14000.0|54.0|0.0
109|0|0|0|0|0|1|0|2.0|5.0|0|3.0|11.0|0|0.0|0|121809.02|0|1|0.0|0|7894.26|5119.96|0|15000.0|59.0|1.0
110|1|1|0|0|0|0|0|8.0|4.0|0|2.0|10.0|0|0.0|0|0.0|0|0|0.0|0|0.0|0.0|1|14000.0|49.0|0.0
111|0|0|0|0|0|0|0|9.0|0.0|0|2.0|11.0|0|0.0|1|277913.19|0|1|0.0|0|0.0|0.0|0|8200.0|44.0|1.0
112|0|0|1|0|0|0|0|3.0|0.0|0|4.0|9.0|0|0.0|0|0.0|0|0|0.0|1|2482.02|3979.9|0|2000.0|32.0|1.0
113|1|0|0|0|0|0|0|8.0|4.0|0|4.0|7.0|0|1.0|1|0.0|0|0|0.0|1|1210.83|245.76|1|4100.0|55.0|0.0
114|0|0|0|0|1|1|0|27.0|0.0|0|0.0|10.0|0|0.0|0|0.0|0|1|0.0|0|0.0|0.0|0|18000.0|44.0|1.0
115|1|1|0|0|0|1|1|2.0|8.0|0|0.0|8.0|0|3.0|0|0.0|0|0|0.0|0|6675.13|2589.49|0|14700.0|67.0|0.0
116|0|0|0|0|0|0|0|5.0|0.0|1|3.0|9.0|0|2.0|0|0.0|0|0|0.0|1|1232.85|388.0|1|11000.0|59.0|0.0
117|0|0|0|0|0|1|0|2.0|7.0|0|2.0|0.0|1|0.0|0|0.0|0|0|0.0|0|1743.45|500.53|1|7400.0|44.0|0.0
118|0|1|0|0|0|0|0|7.0|6.0|0|4.0|6.0|0|0.0|0|508673.23|0|0|0.0|0|1335.2|0.0|1|8250.0|69.0|0.0
119|0|0|0|0|0|1|0|9.0|0.0|1|3.0|0.0|0|1.0|0|0.0|0|0|0.0|1|0.0|2776.97|0|18000.0|63.0|1.0
120|0|0|0|0|0|1|0|3.0|7.0|0|4.0|7.0|0|1.0|0|0.0|0|0|0.0|0|1943.21|0.0|1|12900.0|61.0|1.0
121|0|0|0|0|0|1|0|3.0|7.0|0|0.0|7.0|0|0.0|0|0.0|0|0|0.0|0|0.0|374.23|1|18000.0|49.0|0.0
122|0|0|0|0|0|1|0|20.0|4.0|0|2.0|7.0|0|3.0|0|0.0|0|0|0.0|0|0.0|1310.34|1|18000.0|46.0|1.0
123|1|0|0|0|0|0|1|1.0|4.0|0|4.0|8.0|0|0.0|0|0.0|0|0|0.0|0|2140.59|644.93|0|3000.0|46.0|0.0
